ID,User ID,Username,First Name,Источник,Статус,Попыток,Последний контакт
1,-1001233043722,toncoin,,toncoin,found,0,
2,-1001320813834,cryptodzen,,cryptodzen,found,0,
3,-1001449247732,blockchain,,blockchain,found,0,
4,-1001061855611,coinspot,,coinspot,found,0,
5,-1001666466018,tonapp,,tonapp,found,0,
6,-1001604093193,getgems,,getgems,found,0,
7,5216762880,gotcha8,Gotcha 8,TON Chat | TON Whales | TON Talk | Fragment Alerts,found,0,
8,-1001764902466,,,TonTech,found,0,
9,-1001641337359,toncoin_it,,toncoin_it,found,0,
10,-1001484560051,proton_miners,,proton_miners,found,0,
11,-1001231402311,cryptocurrencyfreedom,,cryptocurrencyfreedom,found,0,
12,-1001733956089,ton_insights_ru,,ton_insights_ru,found,0,
13,-1001241286068,pro_100_mining,,pro_100_mining,found,0,
14,-1001325108457,R7_logistic,,R7_logistic,found,0,
15,-1001662725980,usmfox_mining,,usmfox_mining,found,0,
16,748783735,,Max,thetonceo,found,0,
17,-1001688454767,staking,,staking,found,0,
18,-1001183808396,krypton_bit,,krypton_bit,found,0,
19,-1001149547589,icokaraulny,,icokaraulny,found,0,
